building_collapse,crash,earthquake,explosion,flood,haze,meteor,shoot,typhoon,wildfire
"('woman', 9.300089198313632)","('deadly', 31.531532048376622)","('italia', 30.29536062090354)","('please', 20.05885517381467)","('red', 33.361320530805386)","('construction', 7.41756676850593)","('one', 8.072626270051682)","('gun', 8.409329850156762)","('give', 12.819520148050923)","('smoke', 20.381105800477286)"
"('factories', 9.195473280479847)","('muertos', 30.06167721902131)","('epicenter', 30.02035641243859)","('del', 20.02256030481612)","('still', 33.23034306582802)","('situation', 7.3036792745847245)","('videos', 8.030698226565654)","('open', 8.248957619987346)","('tacloban', 12.729457814855028)","('inc', 20.374189539800817)"
"('http', 9.126711890184456)","('metro', 29.933756086847453)","('via', 28.732382152465497)","('near', 19.99497863017374)","('storm', 32.83118933079905)","('fire', 6.996215112355193)","('http', 8.010849400119076)","('evacuate', 8.032741061036791)","('keep', 12.727759921283292)","('fight', 20.3367070083611)"
"('survivor', 9.09814589976873)","('por', 29.44900466689303)","('xico', 28.570248209940015)","('live', 19.636283857380032)","('today', 32.43820417453972)","('come', 6.988241472302707)","('interior', 7.838170490993583)","('officials', 7.997888848716871)","('prayforthephilippines', 12.553564964739595)","('photo', 20.252077872472235)"
"('safety', 9.075991201727202)","('north', 28.8268740567839)","('los', 28.453467100641372)","('tragedia', 18.84241966941018)","('everyone', 31.937303956353457)","('flyer', 6.864159404436999)","('spectacular', 7.787389371570402)","('shooti', 7.993472958334557)","('may', 12.496694803028717)","('near', 20.223358814434143)"
"('tragedy', 8.85368753316555)","('confirm', 27.1221744840775)","('utc', 28.015718086408036)","('tragedy', 18.00715146093919)","('river', 31.911001577853142)","('worst', 6.727217330004175)","('amaze', 7.732058006168399)","('charge', 7.871962871428575)","('reliefph', 12.045869563829728)","('dia', 20.18146714531683)"
"('next', 8.6265076751228)","('involve', 27.059434687401186)","('modena', 26.319045584409263)","('prayforwest', 17.54787912961535)","('mar', 31.87398719089426)","('weather', 6.629066812986846)","('streak', 7.715128474773835)","('tell', 7.663841165696706)","('areas', 11.985367757911066)","('game', 19.88456817097117)"
"('stop', 8.608065021073605)","('engineer', 26.585049027549275)","('temblorcr', 25.404895741468938)","('heart', 17.398588167176)","('volunteer', 31.868658401961945)","('high', 6.585976039768986)","('morning', 7.558426290929912)","('dead', 7.583265423723703)","('support', 11.969794334204417)","('today', 19.78628933887871)"
"('happen', 8.45283039552801)","('hurt', 26.500966732551387)","('strong', 25.134562548258835)","('week', 17.30698604629121)","('use', 31.351371477031478)","('siao', 6.583149782643724)","('incredible', 7.466353944287836)","('come', 7.538932852168362)","('city', 11.921614890021173)","('ndio', 19.665664364673233)"
"('still', 8.124146846799613)","('today', 26.312136092808384)","('powerful', 24.997223165631308)","('una', 17.00150770487881)","('city', 31.134644866852327)","('better', 6.43867304088138)","('nearly', 7.457185818403291)","('official', 7.423025394203717)","('visayas', 11.876634488392314)","('cardinals', 19.46878271303287)"
"('disaster', 7.447566994863846)","('passenger', 26.25805967931128)","('toll', 24.825083110009363)","('say', 16.754268039487904)","('habagat', 30.347473062423465)","('people', 6.404070148705453)","('region', 7.390195155192704)","('least', 7.419317648538599)","('survivors', 11.759445729833216)","('safe', 19.40488385218252)"
"('trap', 7.294177362688446)","('rip', 26.04256921694706)","('northern', 24.789175826364414)","('get', 15.777373080364798)","('hit', 30.295562247747753)","('live', 6.289176946047596)","('central', 7.2216430599415276)","('call', 7.345310246835952)","('typhoonhaiyan', 11.623951724447675)","('emergency', 18.499509289300807)"
"('confirm', 7.283129867965591)","('affect', 25.90749730825539)","('http', 24.26044163252585)","('two', 15.58065860458948)","('donations', 29.966671451500776)","('indonesian', 6.22107322258543)","('windows', 7.192223995355582)","('time', 7.186819132299582)","('everyone', 11.583743597294264)","('trag', 18.31650418674614)"
"('near', 7.1650708561566905)","('everyone', 25.834312278175275)","('news', 24.09096480233345)","('today', 15.465469549203288)","('emergency', 29.894107771326258)","('threehour', 6.137196721877201)","('space', 7.012902103527819)","('pray', 7.158718854852959)","('thank', 11.569756154062492)","('dead', 18.07637212706053)"
"('savebangladesh', 6.964498568496054)","('los', 25.60891615344152)","('jishin', 24.06455115351494)","('fire', 15.394348118886823)","('philippines', 29.866345598404898)","('good', 6.1291380889076095)","('hear', 6.638842177845304)","('scene', 7.112427303248247)","('del', 11.473774664280912)","('give', 18.013898673278792)"
"('photo', 6.959978455154873)","('les', 25.220967446809407)","('affect', 23.941440794692966)","('con', 15.082177600536959)","('new', 29.68080057137155)","('place', 6.095885158747351)","('know', 6.509070856110916)","('hear', 7.062069107731072)","('philippine', 11.33425174112132)","('waldocanyonfire', 17.741162172018257)"
"('alive', 6.903350057893565)","('afghanistan', 24.602785872766233)","('san', 23.654223117305307)","('incendio', 14.730594071023814)","('live', 29.67047993050691)","('alltime', 6.047924151920136)","('boom', 6.3250023151559285)","('murder', 7.02162755453403)","('god', 11.16788031847224)","('park', 17.158972918586457)"
"('take', 6.763623131809171)","('prayers', 24.597698213444595)","('chile', 23.61004367431229)","('sad', 14.633743644663737)","('evacuate', 29.378133952616015)","('cloud', 6.045597604619891)","('across', 6.186031262343865)","('losangeles', 6.783467502549392)","('signal', 11.055884073914495)","('get', 16.87785491185702)"
"('hundreds', 6.758435175522329)","('photo', 24.569469929110426)","('prayers', 23.56937130553019)","('dzhokhar', 14.479734637988066)","('boulder', 28.85027139281894)","('close', 6.023474301981595)","('rusia', 6.162176265240642)","('lapd', 6.731253701907952)","('justin', 10.977596976161967)","('mortos', 16.874883968434066)"
"('update', 6.734135012683565)","('http', 24.50182970963017)","('menos', 23.50929771810878)","('police', 14.348595544752136)","('ang', 28.131146322627217)","('exactly', 6.022889005357563)","('largest', 6.133507206650718)","('law', 6.6258274273848645)","('davao', 10.840948569937867)","('evacuate', 16.86854854579517)"
"('continue', 6.608935832988588)","('update', 24.419035008359423)","('warn', 23.119642935247374)","('help', 14.07738486800144)","('pray', 28.10431411373401)","('lobang', 5.994402310457725)","('really', 6.120804916895369)","('photo', 6.491468644858565)","('image', 10.207710917858003)","('away', 15.899624776696607)"
"('officials', 6.578139667696543)","('miss', 23.780941900865255)","('sacudi', 22.573135576551486)","('refineria', 13.88493010502251)","('love', 27.972289174575717)","('hot', 5.905559702514251)","('update', 6.107775610115455)","('new', 6.316662561681927)","('bieber', 10.14920794713818)","('stay', 15.41748775849285)"
"('banglaspring', 6.521478870592969)","('lac', 23.437411636927074)","('everyone', 22.199749042946053)","('see', 13.8459055419533)","('send', 27.969881363939496)","('one', 5.854294652724446)","('fri', 5.929147595136469)","('several', 6.224732492330647)","('devastate', 10.082165585844024)","('look', 15.322084532960943)"
"('end', 6.092735921137737)","('canada', 23.372470556957524)","('richter', 21.769811077037275)","('god', 13.170202691488127)","('olbia', 27.36063758670017)","('far', 5.818078169992379)","('damage', 5.915728745802898)","('happen', 6.17014969738289)","('stay', 9.988624820618)","('thank', 15.21439491464543)"
"('recover', 5.9587701268613325)","('death', 23.339714502382098)","('death', 21.481004578315954)","('man', 13.16838857490675)","('time', 26.654448747743587)","('blamethehaze', 5.800738110232838)","('scientists', 5.828913698601224)","('enforcement', 6.105759032510774)","('locate', 9.85307597151028)","('see', 15.20961200272172)"
"('sign', 5.957075714609918)","('pour', 23.19998966617494)","('god', 21.136030183468286)","('esta', 12.780145847764448)","('take', 26.51477676780621)","('tomorrow', 5.715152029001765)","('injuries', 5.757413756978705)","('get', 6.085339248066148)","('powerful', 9.651072434572757)","('para', 15.029051951739135)"
"('work', 5.745900133435709)","('toll', 22.952961904850984)","('church', 21.13280150506285)","('westexplosion', 12.75376578470443)","('dead', 26.509703379735544)","('hazy', 5.6929003031919)","('want', 5.668244546554738)","('man', 6.052632198513138)","('landfall', 9.536549173757566)","('destroy', 14.886733115197472)"
"('reach', 5.669012646738344)","('las', 22.87170238723474)","('champerico', 20.8755041354773)","('finish', 12.739267164086616)","('come', 26.461324074525766)","('stay', 5.661083779697375)","('hurt', 5.595452873724214)","('target', 5.97199810972417)","('rain', 9.500604384814523)","('love', 14.863935073677872)"
"('call', 5.523028068018934)","('bbc', 22.687000281799218)","('hay', 20.550126973021143)","('die', 12.72095189230337)","('brisbane', 26.342969854386393)","('know', 5.578927182419041)","('find', 5.4183381588943185)","('others', 5.9118300648039765)","('response', 9.446787421781206)","('need', 14.834083959875795)"
"('surpass', 5.443627512324987)","('explosion', 22.566855314697108)","('prof', 20.534510115594138)","('one', 12.56949140848456)","('warn', 26.072053627734608)","('histo', 5.546544966742339)","('show', 5.379879669827272)","('safe', 5.702512469557442)","('due', 9.443672930738645)","('rain', 14.708120173646615)"
"('today', 5.414412260995765)","('fatal', 22.180077583403275)","('california', 20.401802792320183)","('right', 12.376862451226453)","('http', 25.963469280227386)","('may', 5.416548257076574)","('saw', 5.351375744093876)","('identify', 5.650640619249198)","('ndrrmc', 9.355249428571277)","('force', 14.616197432027937)"
"('retailers', 5.329471202337473)","('fire', 21.903486788650735)","('che', 20.391149603838162)","('line', 12.343391595151148)","('metro', 25.263016888385)","('cant', 5.410857411647761)","('land', 5.296956469360842)","('witness', 5.476719560966849)","('still', 9.2590755336482)","('lose', 14.388343211320699)"
"('many', 5.25144488473824)","('con', 21.76118212494055)","('region', 20.023971477066567)","('acopio', 12.136215292726327)","('keep', 25.072684450202086)","('blow', 5.392701905768622)","('live', 5.2124887350566)","('follow', 5.400402103312218)","('eye', 9.254071484562735)","('com', 14.361624295723804)"
"('leave', 5.232397076443146)","('dozens', 21.58739283675942)","('nov', 19.930317305154773)","('attack', 12.13191823818828)","('say', 24.70121101540475)","('air', 5.3671627050239525)","('ural', 5.046926284025555)","('many', 5.351076760619328)","('children', 9.176938218254172)","('boulder', 14.180063085679523)"
"('life', 5.1924390118425965)","('soldier', 21.556867349529938)","('non', 19.919394128614407)","('know', 12.081359930458305)","('call', 24.600085834304313)","('need', 5.327082705704318)","('laugh', 5.023308017132166)","('affect', 5.348870327057388)","('raise', 9.002476192284181)","('enter', 14.159804546709493)"
"('pull', 5.146733505031396)","('accident', 21.43496597206184)","('let', 19.916939228836103)","('foto', 11.769788326636748)","('die', 24.08139037520342)","('dont', 5.299112902972285)","('reportedly', 4.928083245422306)","('fbi', 5.2221097410564425)","('photo', 8.939079278797282)","('high', 14.07577468684523)"
"('recovery', 5.103822510724044)","('latest', 21.030291195550554)","('victims', 19.798277131700875)","('run', 11.604694686890216)","('make', 24.071120980176786)","('balakrishnan', 5.103262851105458)","('photo', 4.8987675153447325)","('note', 5.193905218347011)","('latest', 8.934633144727512)","('send', 14.07396187573934)"
"('deadly', 5.064715885425744)","('ntsb', 20.72934433251879)","('september', 19.596209462459218)","('fbi', 11.54096799194216)","('heavy', 23.223859166858304)","('hahaha', 5.089546951767146)","('omg', 4.883250441884106)","('another', 5.102655459588822)","('donations', 8.90103286473016)","('like', 14.040477676380334)"
"('protest', 5.042441387815114)","('due', 20.221178997641406)","('visayas', 19.567453320124685)","('another', 11.517090965760596)","('ust', 23.194847861780364)","('june', 5.079792793873465)","('meteorito', 4.865733414284711)","('yearold', 5.1007436083883295)","('million', 8.89328895043935)","('area', 14.035723827089386)"
"('women', 5.030678820853313)","('scotland', 20.077544876227076)","('una', 19.445279413845984)","('fuego', 11.454511063030813)","('food', 23.115949193321004)","('omg', 5.030113250705325)","('flyby', 4.865051386413423)","('assault', 5.047148183205471)","('southern', 8.830541846121026)","('blaze', 13.87761293980622)"
"('govt', 4.98263852593945)","('roof', 19.27813108752403)","('safe', 19.049356011502965)","('still', 11.329397272195315)","('see', 22.92761455184711)","('always', 4.968277315553584)","('glass', 4.791184857744086)","('inside', 5.035002409792472)","('join', 8.755137473630038)","('deus', 13.784656255150152)"
"('two', 4.904233955631902)","('descarrilamiento', 19.1670181208971)","('emilia', 18.987097926914185)","('hurt', 11.206444172833509)","('know', 22.762208377505868)","('affect', 4.872232874502781)","('didnt', 4.737373109754439)","('leave', 4.993889891330588)","('weather', 8.68620203662909)","('south', 13.72679863425885)"
"('buildingcollapse', 4.891899932828873)","('pass', 18.755791924508987)","('say', 18.891127960091655)","('photo', 11.098993742777964)","('non', 22.535067514781108)","('forest', 4.816241350979488)","('sonic', 4.731792874778481)","('use', 4.945131599860847)","('head', 8.554854733843577)","('one', 13.655208577241924)"
"('new', 4.885317887440091)","('investigators', 18.54908495554853)","('sep', 18.4812662629044)","('http', 10.738103658181375)","('may', 22.463454391657802)","('cause', 4.794547291019639)","('time', 4.679162533474998)","('everyone', 4.928789569668521)","('emergency', 8.547179493895063)","('bushfire', 13.452572721130934)"
"('need', 4.877934557432097)","('tragedy', 18.45917306990798)","('urgente', 18.31111821761414)","('rip', 10.696573911315848)","('area', 22.144232219682614)","('week', 4.737809873711253)","('lol', 4.638019856204304)","('attack', 4.919044942285349)","('rise', 8.534647247877684)","('victims', 13.347184604281228)"
"('reuters', 4.8602776157216265)","('commuter', 18.194047126702323)","('lat', 18.18560394801617)","('est', 10.69429474519477)","('miss', 21.80766883662534)","('company', 4.68291445840142)","('death', 4.620028879386241)","('federal', 4.902968451341363)","('manila', 8.488749884170884)","('take', 13.265534880969069)"
"('bbc', 4.85343259628488)","('time', 17.81325577012349)","('gmt', 18.027772203670967)","('este', 10.674027593154314)","('due', 21.685484424583656)","('think', 4.583856114317506)","('begin', 4.578766300824205)","('worry', 4.826092400725472)","('report', 8.30823021811145)","('world', 13.24654195505683)"
"('know', 4.8521953379385545)","('pray', 17.756075550655744)","('lon', 17.57689168901941)","('update', 10.630745053962102)","('close', 21.594549427711975)","('find', 4.569060046205413)","('scary', 4.551162188811112)","('accord', 4.756318939185308)","('sur', 8.288689492130144)","('police', 13.240720219428075)"
"('report', 4.839544891229238)","('des', 17.55992086528831)","('alert', 17.55678472204342)","('watch', 10.608364604182219)","('report', 21.495630551011434)","('even', 4.489211255898887)","('build', 4.551150811668849)","('video', 4.746374598294337)","('say', 8.171050288477042)","('right', 13.19056331232362)"
"('army', 4.8375751698508624)","('rise', 17.51886938484371)","('today', 17.55652907657724)","('least', 10.327794977026073)","('tweet', 21.09807768336438)","('http', 4.482573248675894)","('atmosphere', 4.513350434798836)","('act', 4.744844291258793)","('surigao', 8.138809003199295)","('amaze', 13.175858380863435)"
"('owners', 4.767222348020958)","('bar', 17.48812834447892)","('zona', 17.467836651513277)","('first', 10.281356610608464)","('philippine', 21.035366521144244)","('apologise', 4.481927772467841)","('cant', 4.481382108216897)","('involve', 4.681952303681445)","('rescueph', 8.085688986503085)","('climate', 13.161401905481537)"
"('one', 4.741111983454559)","('disaster', 17.34004688194919)","('video', 17.281139037789984)","('love', 10.200978460948466)","('like', 20.738169998634373)","('news', 4.44439026081843)","('thats', 4.411555425610185)","('ask', 4.581626260455987)","('world', 8.064529187927)","('for', 13.155018063755945)"
